category;category_title;path;id;filename;caption;order
cards;;cards;47;Nalasa_Kladbishe_3_id47.jpg;;1
cards;;cards;14;Nizhnie_Meteski_1_id14.jpg;;1
cards;;cards;13;Nizhnie_Meteski_2_id13.jpg;;1
cards;;cards;4;Nizhnyaya_Ura_1_id4.jpg;;1
cards;;cards;5;Nizhnyaya_Ura_2_id5.jpg;;1
cards;;cards;6;Nizhnyaya_Ura_3_id6.jpg;;1
cards;;cards;58;Panovka_id58.jpg;;1
cards;;cards;52;Russko_Tatarskaya_Aisha_1_id52.jpg;;1
cards;;cards;53;Russko_Tatarskaya_Aisha_2_id53.jpg;;1
cards;;cards;74;Shadki_1_id74.jpg;;1
cards;;cards;75;Shadki_2_id75.jpg;;1
cards;;cards;21;Srednie_Aty_1_id21.jpg;;1
cards;;cards;20;Srednie_Aty_2_id20.jpg;;1
cards;;cards;17;Srednyaya_Serda_1_id17.jpg;;1
cards;;cards;18;Srednyaya_Serda_2_id18.jpg;;1
cards;;cards;22;Srednyaya_Serda_Kladbishe_1_id22.jpg;;1
cards;;cards;23;Srednyaya_Serda_Kladbishe_2_id23.jpg;;1
cards;;cards;24;Srednyaya_Serda_Kladbishe_3_id24.jpg;;1
cards;;cards;25;Srednyaya_Serda_Kladbishe_4_id25.jpg;;1
cards;;cards;42;Staraya_Masra_1_id42.jpg;;1
cards;;cards;43;Staraya_Masra_2_id43.jpg;;1
cards;;cards;7;Stariy_Ashit_1_id7.jpg;;1
cards;;cards;8;Stariy_Ashit_2_id8.jpg;;1
cards;;cards;9;Stariy_Ashit_3_id9.jpg;;1
cards;;cards;63;Starye_Zuri_id63.jpg;;1
cards;;cards;3;Staryi_Kishet_id3.jpg;;1
cards;;cards;57;Tatarskaya_Aisha_id57.jpg;;1
cards;;cards;62;Tatarskoe_Hodyashevo_1_id62.jpg;;1
cards;;cards;61;Tatarskoe_Hodyashevo_2_id61.jpg;;1
cards;;cards;60;Tatarskoe_Hodyashevo_3_id60.jpg;;1
cards;;cards;11;Tatarskoe_Kadryakovo_1_id11.jpg;;1
cards;;cards;12;Tatarskoe_Kadryakovo_2_id12.jpg;;1
cards;;cards;73;Tautermen_id73.jpg;;1
cards;;cards;54;Tuktamysh_1_id54.jpg;;1
